pattern,replacement, info
".*N/A.*","NONE",
"^NA$", "NONE",
".*NOT EMPLOYED.*","NONE",
".*SELF EMP.*","SELF-EMPLOYED",
".*SELF-.*","SELF-EMPLOYED",
".*SEL EMP.*","SELF-EMPLOYED",
"(.*)S\.F\.(.*)", "\1SAN FRANCISCO\2",
".*ATTORNEY.*", "ATTORNEY", "any kind of attorney is an attorney"
".*LAWYER.*", "ATTORNEY", "any kind of attorney is an attorney"
".*ENGINEER.*", "ENGINEER", "any kind of attorney is an attorney"
"EXECUTIVE DIRECTOR", "EXECUTIVE",
".*PRESIDENT.*", "EXECUTIVE",
".*EXECUTIVE"$", "EXECUTIVE",
"CEO", "EXECUTIVE",
"REAL ESTATE AGENT", "REALTOR",
