donation_id,date,filer_id
VN925GQ29S7,2018-02-03,1395470
VN925GSD6Z0,2018-02-20,1395470
INC64,2018-04-20,1402051
VN925GY0SR2,2018-03-21,1395470
INC1336,2018-01-01,1395947
INC245,2018-08-03,1406738
VN925GRY7D9,2018-02-14,1395470
VN925H6W0J8,2018-05-11,1395470
INC22,2018-03-03,1402051
VN925HD1F84,2018-06-04,1395470
VN925GRWGE1,2018-02-14,1395470
VN925H3EBD9,2018-04-11,1395470
INC1635,2018-01-19,1395947
VN925GQ9PV4,2018-02-07,1395470
VN925GV70A8,2018-03-04,1395470
INC523,2018-09-21,1406738
INC114,2018-06-30,1406738
INC17,2018-02-21,1402051
INC20,2018-02-08,1402502
INC342,2018-12-12,1407918
INC292,2018-09-20,1408122
A-84134,2018-06-28,1406848
A-84357,2018-09-04,1406848
A-84394,2018-10-11,1406848
A-84258,2018-08-19,1406848
INC1,2018-07-02,1408122
INC405,2018-12-27,1407918
INC113,2018-10-01,1407918
INC110,2018-09-28,1407918
INC359,2018-12-18,1407918
INC480,2018-09-19,1406738
INC67,2018-06-26,1406738
INC782,2018-10-25,1406738
INC219,2018-07-31,1406738
INC645,2018-10-10,1406738
INC113,2018-06-30,1406738
INC278,2018-08-10,1406738
INC280,2018-08-11,1406738
INC178,2018-07-18,1406738
INC786,2018-10-29,1406738
INC232,2018-08-02,1406738
INC437,2018-09-12,1406738
INC215,2018-07-29,1406738
INC24,2018-03-03,1402051
INC90,2018-05-04,1402051
INC828,2018-11-05,1402051
INC317,2018-07-29,1402051
INC509,2018-09-24,1402051
INC28,2018-03-11,1402051
INC507,2018-09-24,1402051
INC176,2018-06-26,1402051
INC796,2018-11-02,1402051
INC48,2018-03-30,1402051
INC77,2018-04-11,1402051
INC361,2018-08-27,1402051
INC746,2018-10-30,1402051
INC499,2018-09-24,1402051
INC193,2018-06-30,1402051
INC438,2018-09-07,1402051
INC959,2019-04-17,1407918
INC797,2019-04-09,1407918
VN925KN3R74,2018-12-14,1395470
INC522,2019-01-23,1407918
INC592,2019-03-02,1407918
INC552,2019-02-18,1407918
INC542,2019-02-13,1407918
INC1224,2019-06-14,1407918
INC788,2019-04-10,1407918
VN925K4JMW1,2018-10-19,1395470
INC806,2019-03-20,1407918
INC705,2019-03-14,1407918
INC1339,2019-06-26,1407918
INC533,2019-01-23,1407918
INC706,2019-03-06,1407918
INC971,2019-04-25,1407918
INC673,2019-03-13,1407918
INC1317,2019-06-30,1407918
INC1017,2019-05-06,1407918
INC650,2019-03-06,1407918
INC640,2019-03-06,1407918
INC976,2019-04-25,1407918
INC526,2019-01-23,1407918
INC1084,2019-05-08,1407918
INC708,2019-03-02,1407918
INC694,2019-03-02,1407918
INC1154,2019-04-17,1407918
INC1078,2019-05-18,1407918
INC1025,2019-05-10,1407918
INC1150,2019-05-23,1407918
VN925JPX3T0,2018-09-27,1395470
VN925JN8PC0,2018-09-27,1395470
INC495,2019-01-18,1407918
INC1234,2019-05-28,1407918
INC638,2019-03-05,1407918
INC972,2019-04-25,1407918
INC1329,2019-06-26,1407918
INC1162,2019-04-15,1407918
INC1159,2019-04-14,1407918
INC675,2019-03-17,1407918
INC808,2019-03-18,1407918
INC720,2019-03-14,1407918
INC1004,2019-05-03,1407918
INC1260,2019-06-17,1407918
INC688,2019-03-21,1407918
INC991,2019-04-15,1407918
INC752,2019-03-27,1407918
INC1036,2019-05-08,1407918
INC970,2019-04-17,1407918
INC567,2019-02-22,1407918
INC1223,2019-06-11,1407918
INC754,2019-03-29,1407918
INC783,2019-04-10,1407918
INC666,2019-03-17,1407918
INC1313,2019-06-30,1407918
INC703,2019-03-14,1407918
INC968,2019-04-17,1407918
INC735,2019-03-14,1407918
INC652,2019-03-07,1407918
