id,date,amount
VN925GQ29S7,2018-02-03,100
VN925GSD6Z0,2018-02-20,43
INC64,2018-04-20,500
VN925GY0SR2,2018-03-21,100
INC1336,2018-01-01,500
INC245,2018-08-03,100
VN925GRY7D9,2018-02-14,143
VN925H6W0J8,2018-05-11,500
INC22,2018-03-03,500
VN925HD1F84,2018-06-04,100
VN925GRWGE1,2018-02-14,43
VN925H3EBD9,2018-04-11,250
INC1635,2018-01-19,100
VN925GQ9PV4,2018-02-07,50
VN925GV70A8,2018-03-04,200
INC523,2018-09-21,100
INC114,2018-06-30,500
INC17,2018-02-21,500
INC20,2018-02-08,500
INC342,2018-12-12,500
INC292,2018-09-20,100
A-84134,2018-06-28,500
A-84357,2018-09-04,500
A-84394,2018-10-11,50
A-84258,2018-08-19,100
INC1,2018-07-02,250
INC405,2018-12-27,500
INC113,2018-10-01,100
INC110,2018-09-28,200
INC359,2018-12-18,200
INC480,2018-09-19,500
INC67,2018-06-26,200
INC782,2018-10-25,500
INC219,2018-07-31,100
INC645,2018-10-10,100
INC113,2018-06-30,100
INC278,2018-08-10,100
INC280,2018-08-11,100
INC178,2018-07-18,100
INC786,2018-10-29,500
INC232,2018-08-02,100
INC437,2018-09-12,500
INC215,2018-07-29,100
INC24,2018-03-03,500
INC90,2018-05-04,250
INC828,2018-11-05,500
INC317,2018-07-29,500
INC509,2018-09-24,500
INC28,2018-03-11,100
INC507,2018-09-24,500
INC176,2018-06-26,500
INC796,2018-11-02,25
INC48,2018-03-30,500
INC77,2018-04-11,500
INC361,2018-08-27,100
INC746,2018-10-30,50
INC499,2018-09-24,500
INC193,2018-06-30,500
INC438,2018-09-07,250
INC959,2019-04-17,500
INC797,2019-04-09,500
VN925KN3R74,2018-12-14,250
INC522,2019-01-23,100
INC592,2019-03-02,100
INC552,2019-02-18,250
INC542,2019-02-13,500
INC1224,2019-06-14,100
INC788,2019-04-10,250
VN925K4JMW1,2018-10-19,250
INC806,2019-03-20,250
INC705,2019-03-14,250
INC1339,2019-06-26,400
INC533,2019-01-23,500
INC706,2019-03-06,500
INC971,2019-04-25,50
INC673,2019-03-13,100
INC1317,2019-06-30,250
INC1017,2019-05-06,100
INC650,2019-03-06,500
INC640,2019-03-06,100
INC976,2019-04-25,250
INC526,2019-01-23,500
INC1084,2019-05-08,100
INC708,2019-03-02,100
INC694,2019-03-02,250
INC1154,2019-04-17,500
INC1078,2019-05-18,100
INC1025,2019-05-10,100
INC1150,2019-05-23,100
VN925JPX3T0,2018-09-27,50
VN925JN8PC0,2018-09-27,500
INC495,2019-01-18,500
INC1234,2019-05-28,100
INC638,2019-03-05,500
INC972,2019-04-25,100
INC1329,2019-06-26,250
INC1162,2019-04-15,500
INC1159,2019-04-14,500
INC675,2019-03-17,100
INC808,2019-03-18,450
INC720,2019-03-14,250
INC1004,2019-05-03,250
INC1260,2019-06-17,100
INC688,2019-03-21,500
INC991,2019-04-15,100
INC752,2019-03-27,25
INC1036,2019-05-08,500
INC970,2019-04-17,500
INC567,2019-02-22,500
INC1223,2019-06-11,100
INC754,2019-03-29,250
INC783,2019-04-10,100
INC666,2019-03-17,200
INC1313,2019-06-30,100
INC703,2019-03-14,100
INC968,2019-04-17,500
INC735,2019-03-14,500
INC652,2019-03-07,250
INC580,2019-02-22,500
INC1161,2019-05-09,500
INC1010,2019-05-03,500
INC584,2019-02-22,500
INC729,2019-03-06,500
INC1270,2019-05-08,500
INC1023,2019-05-11,400
INC669,2019-03-13,100
INC569,2019-02-22,500
INC725,2019-03-14,200
INC973,2019-04-25,100
INC941,2019-04-16,100
INC1227,2019-06-15,500
VN925KN3R90,2018-12-14,100
hVaW94neVEDH,2019-05-10,500
VN925KMQDY7,2018-11-09,500
e9iM6wb2NfBj,2019-06-20,500
6iqoJiuOzcnT,2019-06-20,500
TTXlbIAANXTy,2019-06-30,500
VN925K0NMT4,2018-10-15,500
INC212,2019-06-27,200
INC79,2019-06-14,100
INC221,2019-06-28,250
INC253,2019-06-19,500
INC209,2019-06-24,250
INC179,2019-06-24,500
INC218,2019-06-24,100
INC147,2019-06-30,250
INC24,2019-03-15,500
INC175,2019-06-21,500
INC174,2019-06-18,500
INC91,2019-06-17,100
INC103,2019-06-21,250
INC94,2019-06-11,500
INC193,2019-06-18,500
INC80,2019-06-14,100
INC2330,2019-06-28,100
INC2240,2019-02-16,500
INC1403,2018-10-15,500
DCyZqt7K5Rae,2018-11-30,100
INC2787,2018-10-12,500
INC3,2018-07-02,250
INC221,2018-06-30,500
INC1071,2018-04-19,100
INC271,2018-03-01,100
INC634,2018-10-11,500
INC2473,2018-09-21,100
INC1752,2018-06-20,100
EttWnDnFbbU4,2019-05-20,500
INC1011,2018-05-31,100
INC412,2018-11-01,100
INC1045,2018-07-25,100
INC2849,2018-10-16,500
INC1981,2018-07-01,100
INC998,2018-09-15,500
INC337,2018-08-16,500
INC1067,2018-09-20,250
IDT96,2018-09-13,100
INC1380,2018-10-05,250
INC897,2018-08-28,500
t8kLAjlhHZgY,2018-12-30,100
INC3500,2018-11-02,250
O5QacdlnU9ny,2018-06-29,500
INC331,2018-08-15,100
INC116,2018-08-02,400
INC3258,2018-10-29,200
INC411,2018-11-01,400
INC731,2018-01-09,500
INC291,2018-08-12,100
1uGFUmfXtHFW,2018-10-18,100
INC1146,2018-06-22,100
INC405,2018-09-09,100
INC1762,2018-12-06,250
INC171,2018-03-08,100
INC1273,2018-05-09,200
7kSCmPchykMf,2018-09-06,100
zTsgiBEnwMUx,2018-06-30,100
INC1672,2018-11-05,500
INC1536,2018-10-18,50
INC29,2018-02-26,100
INC730,2018-01-09,250
INC307,2018-08-13,100
INC1566,2018-10-25,200
INC255,2018-08-04,100
ldEO8Jqufl1g,2018-10-03,100
8JtsYSVei9V7,2018-06-30,100
INC1085,2018-04-22,500
INC919,2018-02-28,500
INC273,2018-07-19,500
INC1916,2018-06-30,250
DzsrM7ZJdkOQ,2018-08-21,10
INC918,2018-09-05,150
INC1055,2018-06-11,50
iWcfT9J3j9em,2019-06-13,500
LA9Ql19y9spl,2018-08-22,500
INC1242,2018-09-20,100
OPSGD8DemhmU,2018-08-30,-100
INC446,2018-09-16,500
INC3215,2018-10-25,100
INC1292,2018-09-24,100
BDJoRrNBfcoi,2019-02-24,100
INC721,2018-07-09,100
INC1881,2018-11-05,100
A-84228,2018-08-07,500
XrsNmMBIgLjG,2018-06-25,100
CJ7olAmsBprX,2018-12-31,100
yQjfKeeLqbos,2018-06-25,100
INC859,2018-02-05,500
INC1115,2018-06-27,500
INC462,2018-02-28,100
INC1179,2018-05-17,500
INC722,2018-02-26,100
PKsDZhdqFyiN,2018-08-07,100
Bj61FXSIlnzV,2018-01-01,250
rIvGPszbrlMf,2018-06-25,250
INC2049,2018-10-23,100
md2J38jR8JGg,2018-09-28,100
INC821,2018-01-28,500
ivrZimV1jDsZ,2018-06-29,100
INC1519,2018-10-14,500
INC885,2018-03-23,500
INC989,2018-03-22,150
INC1224,2018-03-19,100
IDT149,2018-09-22,100
INC1350,2018-07-24,100
INC685,2018-10-10,250
DCYKkgaEIvEp,2018-10-12,300
PiJA74Q1vh91,2018-11-03,250
FbWNmMV7tZoJ,2018-06-24,100
INC1689,2018-11-05,500
VN925HVYE97,2018-08-07,25
fcRHWYcoipVa,2019-04-29,500
AlHs9FKhERZh,2018-08-29,250
A-84224,2018-08-05,500
INC1011,2018-04-03,100
INC559,2018-04-10,500
INC1169,2018-09-05,100
INC1042,2018-09-29,150
EXP837,2018-06-28,-250
INC1015,2018-04-05,500
VN925H62WN7,2018-05-02,500
INC401,2018-10-24,100
INC1365,2018-07-07,500
INC2313,2018-08-22,100
N2HbE7LSSlPI,2019-06-13,500
INC1168,2018-04-21,100
TEkoiIenGb2P,2018-07-18,200
VN925HH6JH0,2018-06-28,30
7mf9bpqF3KcL,2019-01-18,100
INC1661,2018-11-05,100
INC198,2018-03-14,100
INC981,2018-03-16,50
INC310,2018-01-02,50
INC323,2018-08-15,100
INC1492,2018-09-11,-250
6aHhHFa7EkMr,2019-06-30,100
IDT296,2018-11-05,100
INC594,2018-02-10,100
VN925GSMAN4,2018-02-21,100
INC1670,2018-06-10,100
INC847,2018-08-08,500
INC722,2018-07-09,100
INC1813,2018-06-26,125
fPPJhOtjFisp,2018-10-16,100
CgZsudLtus3C,2018-11-02,100
VN925GVZS83,2018-03-12,100
INC1847,2018-10-27,250
INC61,2018-06-26,500
INC129,2018-06-29,500
INC578,2018-01-26,500
INC2146,2018-08-05,50
INC833,2018-08-07,250
INC1609,2018-06-03,500
INC1686,2018-07-11,100
INC1164,2018-10-19,100
INC3416,2018-10-30,300
INC681,2018-03-10,100
INC3514,2018-11-01,100
INC478,2018-05-31,500
SK8O2zpf91pt,2018-10-03,100
qSPsH9pMcGiu,2018-08-14,100
INC358,2018-05-02,475
eOphSGbYufTt,2019-06-20,500
INC2797,2018-10-14,500
INC1263,2018-07-10,100
wB4khKGHIJtM,2019-02-06,200
INC1563,2018-09-16,498.27
INC993,2018-05-29,100
INC1089,2018-04-13,250
rWPSaupYBTFK,2018-07-01,45
3tnOFFyAj1d8,2018-10-23,500
INC433,2018-09-11,250
IDT74,2018-09-01,500
INC1087,2018-10-10,150
INC1198,2018-04-19,500
j42RSpeUgtLB,2019-02-04,100
INC2988,2018-10-19,100
eLHEXg9NYXTN,2018-10-16,200
INC934,2018-09-07,250
EXP143,2018-09-19,-200
IDT156,2018-09-22,100
WE3x37iMJnEk,2018-12-10,100
ntEwhsJWE2tL,2019-06-26,100
flqPLZJl1FeU,2018-10-19,100
6mCXCuaKT5Fb,2019-06-28,250
INC792,2018-01-10,500
INC146,2018-08-24,250
MllJXs5xOJA8,2018-09-22,100
INC507,2018-06-11,250
INC3575,2018-11-04,200
INC827,2018-05-16,100
1fOlX1XfmvPR,2018-07-31,200
INC14,2018-03-01,250
VN925HMPYZ8,2018-06-30,100
IDT113,2018-09-14,100
gFcLDRaRZMvf,2019-05-31,500
Lbaoe2sz459a,2019-06-06,500
IDT26,2018-01-06,300
INC541,2018-01-12,100
icTpcjZkNvah,2018-06-16,500
INC4143,2018-12-21,100
SuqLwDVoNau6,2019-06-29,300
INC716,2018-07-10,100
MPr21fqys5Sr,2018-08-21,100
vWeY9rDrdH5h,2018-06-25,100
INC3576,2018-11-04,100
INC820,2018-03-14,100
EXP4465,2019-06-30,-250
INC1366,2018-07-09,250
vzwcJlQ8YO1q,2018-09-10,200
INC695,2018-03-19,500
INC1034,2018-06-08,500
INC1431,2018-10-14,500
INC1499,2018-10-14,500
INC438,2018-09-12,500
INC1652,2018-11-06,100
INC484,2018-09-20,100
INC553,2018-03-26,50
INC79,2018-02-26,100
INC139,2018-08-18,200
IDT301,2018-11-10,100
lPy4aNEv9djA,2018-08-18,100
INC542,2018-01-15,100
INC1046,2018-04-15,100
