original_name,new_name
"SELF EMPLOYED, SAME NAME",SELF-EMPLOYED
"MANATT, PHELPS & PHILLIPS, LLP",MANATT PHELPS AND PHILLIPS
SARA C. STEPHENS MEDICAL ADVOCACY & PLANNING,SARA C. STEPHENS MEDICAL ADVOCACY AND PLANNING
HWL ENTERPRISE INC,HWL ENTERPRISE
FIG & THISTLE MARKET,FIG AND THISTLE MARKET
"BLUE BIRDS CONSTRUCTION, INC.",BLUE BIRDS CONSTRUCTION
"MUTUAL SEIKO CONSTRUCTION, INC.",MUTUAL SEIKO CONSTRUCTION
"WONG CONSTRUCTION, INC.",WONG CONSTRUCTION
FMSF INC,FMSF
CITY AND COUNT OF SAN FRANCISCO,CITY AND COUNTY OF SAN FRANCISCO
BARBARY COAST SAN FRANCISCO,BARBARO COAST SAN FRANCISCO
BULLITT BAR & GRILL,BULLITT BAR AND GRILL
SQUARE INC.,SQUARE
SELF EMPLOYED/SAME NAME,SELF-EMPLOYED
WILSON SONSINI GOODRICH & ROSATI,WILSON SONSINI GOODRICH AND ROSATI
"BARRACUDA NETWORKS, INC.",BARRACUDA NETWORKS
CITY & COUNTY OF SAN FRANCISCO,CITY AND COUNTY OF SAN FRANCISCO
"650 INDUSTRIES, INC.",650 INDUSTRIES
SELF-EMPLOYED/SAME NAME,SELF-EMPLOYED
UNIVERSITY OF CALIFORNIA AT SAN FRANCISCO,UNIVERSITY OF CALIFORNIA SAN FRANCISCO
"SELF-EMPLOYED, SAME NAME",SELF-EMPLOYED
SELF EMPLOYED,SELF-EMPLOYED
GROSS & BELSKY PROFESSIONAL CORPORATION,GROSS AND BELSKY PROFESSIONAL CORPORATION
SELF EMPPLOYED/SAME NAME,SELF-EMPLOYED
N/A,NONE
"STEARNS CONSULTING, LLC",STEARNS CONSULTING
"UBER, INC.",UBER
"SPEEDGAUGE, INC.",SPEEDGAUGE
"PAX LABS, INC.",PAX LABS
"UNIVERSITY OF CALIFORNIA, AT BERKELEY",UNIVERSITY OF CALIFORNIA AT BERKELEY
"SQUARE, INC",SQUARE
"REUBEN, JUNIUS & ROSE, LLP",REUBEN JUNIUS AND ROSE
"EUROGRAPHICS, INC.",EUROGRAPHICS
"GROUPON, INC.",GROUPON
"NEYHART, ANDERSON, FLYNN & GROSBOLL",NEYHART ANDERSON FLYNN AND GROSBOLL
ON LOK INC.,ON LOK
"BLOOMFIELD LAW GROUP, INC.",BLOOMFIELD LAW GROUP
"HANOVER PARTNERS, INC.",HANOVER PARTNERS
"SINCERE CONSTRUCTION COMPANY, INC.",SERE CONSTRUCTION COMPANY
H & L PARTNERS,H AND L PARTNERS
"SOLYD ARCHITECTURE, MANAGEMENT & DESIGN",SOLYD ARCHITECTURE MANAGEMENT AND DESIGN
"Z&L PROPERTIES, INC.",ZANDL PROPERTIES
TOBENER RAVENSCROFT LLP,TOBENER RAVENSCROFT
MOUNTAIN VIEW WINDOW & DOOR,MOUNTAIN VIEW WINDOW AND DOOR
"PEACOCK PROPERTIES, INC.",PEACOCK PROPERTIES
DELTA DENTAL OF CALIFORNIA,DELTA DENTAL
BARBARY COAST SF,BARBARO COAST SAN FRANCISCO
"DR. TERESA PALMER, MD",DR. TERESA PALMER MD
"LEGARIE MANAGEMENT, INC.",LEGARIE MANAGEMENT
UNIVERSITY OF CALIFORNIA SAN FRANCIACO,UNIVERSITY OF CALIFORNIA SAN FRANCISCO
WOLFORD WAYNE LLP,WOLFORD WAYNE
DENNING & COMPANY,DENNING AND COMPANY
KIMOCHI INC,KIMOCHI
LINCOLN LIGHTHILL ARCHITECT,LOLN LIGHTHILL ARCHITECT
O'MELVENY & MYERS LLP,O'MELVENY AND MYERS
LEVER INC,LEVER
HOYER & HICKS,HOYER AND HICKS
"IMMIXGROUP, INC",IMMIXGROUP
"JACKSON LAW GROUP, P.C.",JACKSON LAW GROUP P.C.
SUNRUN INC.,SUNRUN
EASTERSEALS BAY AREA (ESBA),EASTERSEALS BAY AREA
MCAVOY O'HARA CO. INC.,MCAVOY O'HARA CO.
GREAT BASIN LAND & WATER,GREAT BASIN LAND AND WATER
KAFOURY & MCDOUGAL,KAFOURY AND MCDOUGAL
"50+1 STRATEGIES, LLC.",50+1 STRATEGIES
"GORDON REES SCULLY MANSUKHANI, LLP",GORDON REES SCULLY MANSUKHANI
UNIF MANAGEMENT INC.,UNIF MANAGEMENT
BARBARY COST SF,BARBARO COAST SAN FRANCISCO
"MUNGER, TOLLES & OLSON LLP",MUNGER TOLLES AND OLSON
"YBC ASSOCIATES, INC.",YBC ASSOCIATES
WINSTON & STRAWN LLP,WINSTON AND STRAWN
KAISER,KAISER PERMANENTE
