id,name
1395470,SHAMANN WALTON FOR SUPERVISOR 2018
1402051,CHRISTINE JOHNSON FOR DISTRICT 6 SUPERVISOR - 2018
1395947,RAFAEL MANDELMAN FOR SUPERVISOR 2018 PRIMARY
1406738,JESSICA HO FOR SUPERVISOR 2018
1402502,CATHERINE STEFANI FOR SUPERVISOR 2018
1407918,VOTE VALLIE BROWN FOR SUPERVISOR 2019
1408122,TREVOR MCNEIL FOR DISTRICT 4 SUPERVISOR 2018
1406848,JOHN DENNIS FOR SUPERVISOR 2018
Pending,AHSHA SAFAI FOR SUPERVISOR 2020
1415883,AARON PESKIN FOR SUPERVISOR 2020
1395950,RAFAEL MANDELMAN FOR SUPERVISOR 2018 OFFICEHOLDER COMMITTEE
1408942,DEAN PRESTON FOR SUPERVISOR 2019
1398951,HANEY FOR SUPERVISOR 2018
1398618,NICK JOSEFOWITZ FOR SUPERVISOR 2018
1399121,KAT ANDERSON FOR SUPERVISOR 2018
1397772,SONJA TRAUSS FOR SUPERVISOR 2018
1398949,THEO ELLINGTON FOR SUPERVISOR 2018
1406921,GORDON MAR FOR DISTRICT 4 SUPERVISOR 2018
1395950,RAFAEL MANDELMAN FOR SUPERVISOR 2018 GENERAL
1399091,TONY KELLY FOR SUPERVISOR 2018
1396875,SCHUYLER HUDAK FOR DISTRICT 2 SUPERVISOR 2018
1407662,TUAN NGUYEN FOR DISTRICT 4 SUPERVISOR 2018
pending,BASSAN FOR SUPERVISOR  2018
1411660,SHANELL WILLIAMS FOR DISTRICT 5 SUPERVISOR 2019
1395306,JEFF SHEEHY FOR SUPERVISOR JUNE 2018
Pending,MIKE MURPHY FOR DISTRICT 4 SUPERVISOR 2018
1406948,ART TOM FOR SUPERVISOR 2018
1395092,KATY TANG FOR SUPERVISOR 2018
1396515,UZURI PEASE-GREENE FOR SUPERVISOR 2018
1398951,HANEY FOR SUPERVISOR 2018 OFFICEHOLDER COMMITTEE
1407179,LI LOVETT FOR SUPERVISOR 2018
1400535,NEO VEAVEA FOR D-10 SUPERVISOR 2018
1379920,RE-ELECT LONDON BREED FOR SUPERVISOR 2016
1382556,AARON PESKIN FOR SUPERVISOR 2016
1406420,"SF WORKFORCE HOUSING ALLIANCE, SUPPORTING NICK JOSEFOWITZ AND OPPOSING CATHERINE STEFANI FOR SUPERVISOR 2018"
1399544,JEFF SHEEHY FOR SUPERVISOR NOVEMBER 2018
1379663,JONATHAN LYENS FOR SUPERVISOR 2016
1411440,"SAN FRANCISCANS FOR CHANGE, SUPPORTING JOHNSON & TRAUSS FOR D6 SUPERVISOR 2018, SPONSORED BY PROGRESS SAN FRANCISCO"
1400950,LAWRENCE DAGESSE FOR SUPERVISOR 2018
1406655,DAGESSE FOR DISTRICT 8 SUPERVISOR 2018 GENERAL
1413357,SAN FRANCISCANS FOR SUPERVISOR CATHERINE STEFANI 2018
1407260,BERRY FOR SUPERVISOR 2018
1405578,ISAAC ROSENBERG FOR SUPERVISOR 2018
1397680,JONES FOR SUPERVISOR 2018
1398818,ADAM KIM FOR SUPERVISOR 2018
