                                         occupation_name,                                         occupation_class,                                                                                      label_info
                                                 RETIRED,                                                  RETIRED,
                                                   OWNER,                                            OWNER/FOUNDER,
                                                 FINANCE,                                            OWNER/FOUNDER,
                                                INVESTOR,                                            OWNER/FOUNDER,
                                               BAR OWNER,                                            OWNER/FOUNDER,
                                               PRINCIPAL,                                            OWNER/FOUNDER,                                  https://www.quora.com/What-does-Principal-means-as-a-job-title
                                              CHEF/OWNER,                                            OWNER/FOUNDER,
                                              FARM OWNER,                                            OWNER/FOUNDER,
                                           GALLERY OWNER,                                            OWNER/FOUNDER,
                                         OWNER/ARCHITECT,                                            OWNER/FOUNDER,
                                         OWNER/PUBLISHER,                                            OWNER/FOUNDER,
                                        MANAGING PARTNER,                                            OWNER/FOUNDER,
                                        RESTAURANT OWNER,                                            OWNER/FOUNDER,
                                      ENTREPRENEUR/OWNER,                                            OWNER/FOUNDER,
                                   ASSET MANAGER/PARTNER,                                            OWNER/FOUNDER,
                                   BREWERY AND BAR OWNER,                                            OWNER/FOUNDER,
                                OWNER/GENERAL CONTRACTOR,                                            OWNER/FOUNDER,
                                PROPERTY MANAGER & OWNER,                                            OWNER/FOUNDER,
                               COMMERCIAL PROPERTY OWNER,                                            OWNER/FOUNDER,
                     OWNER/PROJECT MANAGEMENT CONSULTANT,                                            OWNER/FOUNDER,
                                                    CHEF,                                            RANK AND FILE,
                                                   BUYER,                                            RANK AND FILE,
                                                   CLERK,                                            RANK AND FILE,
                                                  ARTIST,                                            RANK AND FILE,
                                                  AUTHOR,                                            RANK AND FILE,
                                                  CLERGY,                                            RANK AND FILE,
                                                  DOCTOR,                                            RANK AND FILE,
                                                  EDITOR,                                            RANK AND FILE,
                                                  FARMER,                                            RANK AND FILE,
                                                  LENDER,                                            RANK AND FILE,
                                                  SERVER,                                            RANK AND FILE,
                                                  WRITER,                                            RANK AND FILE,
                                                 ADVISOR,                                            RANK AND FILE,
                                                 ANALYST,                                            RANK AND FILE,
                                                 BARISTA,                                            RANK AND FILE,
                                                 DENTIST,                                            RANK AND FILE,
