original_name,new_name,info
FOUNDER/REALTOR,EXECUTIVE,NA
"MANAGING DIRECTOR, WAR MEMORIAL",MANAGING DIRECTOR WAR MEMORIAL,NA
SOFTWARE DEVELOPER,SOFTWARE ENGINEER,Match on SOFTWARE ENG.
CHIEF EXECUTIVE OFFICER,EXECUTIVE,NA
NOT EMPLOYED,NONE,NA
CEO,EXECUTIVE,NA
PRESIDENT,EXECUTIVE,NA
FOUNDER,EXECUTIVE,NA
REAL ESTATE AGENT,REALTOR,NA
EXECUTIVE ASSISTANT,ASSISTANT,NA
AUTHOR & ATTORNEY,ATTORNEY,Any kind of attorney is an attorney.
LAWYER,ATTORNEY,Any kind of attorney is an attorney.
"FOUNDER, DIRECTOR OF INVESTMENT",EXECUTIVE,NA
TECH EXECUTIVE,EXECUTIVE,NA
ELECTRICAL ENGINEER,ENGINEER,"Any kind of engineer is an engineer, if they're not software engineers."
VICE PRESIDENT OF STRATEGY,EXECUTIVE,NA
VICE PRESIDENT,EXECUTIVE,NA
DATA ENGINEER,SOFTWARE ENGINEER,Match on SOFTWARE ENG.
"VICE PRESIDENT, MOBILE PARTNERSHIPS",EXECUTIVE,NA
"SUPERVISOR, DISTRICT 9",SUPERVISOR DISTRICT 9,NA
FAIR HOUSING ATTORNEY,ATTORNEY,Any kind of attorney is an attorney.
"EMPLOYMENT SPECIALIST, HUMAN SERVICES AGENCY",EMPLOYMENT SPECIALIST HUMAN SERVICES AGENCY,NA
LAW PROFESSOR/ATTORNEY,ATTORNEY,Any kind of attorney is an attorney.
SELF EMPLOYED,SELF-EMPLOYED,NA
CO-FOUNDER AND PRINCIPAL,EXECUTIVE,NA
REAL ESTATE SALES,REALTOR,NA
VICE-PRESIDENT,EXECUTIVE,NA
MANAGING ATTORNEY,ATTORNEY,Any kind of attorney is an attorney.
TENANT RIGHTS ATTORNEY,ATTORNEY,Any kind of attorney is an attorney.
DEPUTY COUNTY EXECUTIVE,EXECUTIVE,NA
FOUNDER AND CO-CHIEF EXECUTIVE OFFICER/REAL ESTATE INVESTOR,REAL ESTATE INVESTOR,NA
DEPUTY CITY ATTORNEY,ATTORNEY,Any kind of attorney is an attorney.
CEO/INVESTMENT BANKER,EXECUTIVE,NA
MECHANICAL ENGINEER,ENGINEER,"Any kind of engineer is an engineer, if they're not software engineers."
"EXECUTIVE DIRECTOR, RENT BOARD",EXECUTIVE DIRECTOR,NA
"VICE PRESIDENT OF PEOPLE, PORTFOLIO SERVICES",EXECUTIVE,NA
"CRAIGSLIST, INC.",CRAIGSLIST INC.,NA
"ATTORNEY, DEPARTMENT OF JUSTICE",ATTORNEY,Any kind of attorney is an attorney.
