industry_name,employer_name,filer_name,total_donations,total_donation_amount,total_donors
UNEMPLOYED,NONE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,120,30630,96
GOVERNMENT,CITY AND COUNTY OF SAN FRANCISCO,VOTE VALLIE BROWN FOR SUPERVISOR 2019,51,9745,40
REAL ESTATE (DEVELOPER),TMG PARTNERS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,14,6850,14
TECH,GOOGLE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,8,2300,7
REAL ESTATE (REALTOR),VANGUARD PROPERTIES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,7,3500,7
EDUCATION,SAN FRANCISCO STATE UNIVERSITY,DEAN PRESTON FOR SUPERVISOR 2019,7,1650,5
CANNABIS,BARBARY COAST SAN FRANCISCO,VOTE VALLIE BROWN FOR SUPERVISOR 2019,5,1850,5
TECH,FACEBOOK,VOTE VALLIE BROWN FOR SUPERVISOR 2019,4,1350,4
TECH,GOOGLE,DEAN PRESTON FOR SUPERVISOR 2019,6,1150,4
EDUCATION,SAN FRANCISCO UNIFIED SCHOOL DISTRICT,DEAN PRESTON FOR SUPERVISOR 2019,5,950,4
BUILDING TRADES,CULLINANE PLASTERING,VOTE VALLIE BROWN FOR SUPERVISOR 2019,3,1500,3
GOVERNMENT,STATE OF CALIFORNIA,DEAN PRESTON FOR SUPERVISOR 2019,3,600,3
GOVERNMENT,STATE OF CALIFORNIA,VOTE VALLIE BROWN FOR SUPERVISOR 2019,4,550,3
FINANCE,FLYNN INVESTMENTS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,3,1500,3
HEALTHCARE (OTHER),GENENTECH,DEAN PRESTON FOR SUPERVISOR 2019,3,1300,3
NON-PROFIT (ADVOCACY),TENANTS TOGETHER,DEAN PRESTON FOR SUPERVISOR 2019,3,1000,3
FINANCE,SCOPIA CAPITAL MANAGEMENT,DEAN PRESTON FOR SUPERVISOR 2019,3,1499,3
GOVERNMENT,OFFICE OF THE SAN FRANCISCO PUBLIC DEFENDER,DEAN PRESTON FOR SUPERVISOR 2019,3,950,3
BUILDING TRADES,GRANITE EXCAVATION AND DEMOLITION,VOTE VALLIE BROWN FOR SUPERVISOR 2019,3,1500,3
CANNABIS,GRASS ROOTS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,3,1500,3
FOOD SERVICE,JOHN'S GRILL,VOTE VALLIE BROWN FOR SUPERVISOR 2019,3,1500,3
TECH,FACEBOOK,DEAN PRESTON FOR SUPERVISOR 2019,2,1000,2
TECH,ORACLE,DEAN PRESTON FOR SUPERVISOR 2019,2,600,2
NON-PROFIT (COMMUNITY),JAPANESE CULTURAL AND COMMUNITY CENTER OF NORTHERN CALIFORNIA,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,300,2
REAL ESTATE (LANDLORD),CRE PROPERTY MANAGEMENT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,600,2
EDUCATION,GOLDEN GATE UNIVERSITY,DEAN PRESTON FOR SUPERVISOR 2019,3,600,2
GOVERNMENT,CITY OF BERKELEY,DEAN PRESTON FOR SUPERVISOR 2019,2,500,2
RIDESHARE,LYFT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,350,2
NON-PROFIT (LAW),PUBLIC ADVOCATES,DEAN PRESTON FOR SUPERVISOR 2019,3,750,2
EDUCATION,SAN FRANCISCO STATE UNIVERSITY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,350,2
ENTERTAINMENT,FMD MEDIA SALES,DEAN PRESTON FOR SUPERVISOR 2019,2,1000,2
GOVERNMENT,UNITED TALENT AGENCY,DEAN PRESTON FOR SUPERVISOR 2019,3,300,2
RELIGION,EDMONDS UNITARIAN UNIVERSALIST CONGREGATION,DEAN PRESTON FOR SUPERVISOR 2019,2,1000,2
TECH,ATLASSIAN,DEAN PRESTON FOR SUPERVISOR 2019,2,1000,2
NON-PROFIT (COMMUNITY),AFRICAN AMERICAN ART AND CULTURE COMPLEX,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,200,2
REAL ESTATE (REALTOR),COMPASS REAL ESTATE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,600,2
HEALTHCARE (INSURANCE),KAISER PERMANENTE,DEAN PRESTON FOR SUPERVISOR 2019,2,250,2
HEALTHCARE (INSURANCE),KAISER PERMANENTE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,350,2
FOOD SERVICE,HONG KONG CLAY POT RESTAURANT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,3,500,2
POLITICS,CHESA BOUDIN FOR DISTRICT ATTORNEY 2019,DEAN PRESTON FOR SUPERVISOR 2019,5,1000,2
