id,date,amount
INC342,2018-12-12,500
INC405,2018-12-27,500
INC113,2018-10-01,100
INC110,2018-09-28,200
INC359,2018-12-18,200
DCyZqt7K5Rae,2018-11-30,100
t8kLAjlhHZgY,2018-12-30,100
7kSCmPchykMf,2018-09-06,100
CJ7olAmsBprX,2018-12-31,100
WE3x37iMJnEk,2018-12-10,100
MJzTbc2Jyco9,2018-10-10,500
qpw8uk1TIe47,2018-12-31,250
INC406,2018-12-27,500
N8crUFhbtfMX,2018-12-31,500
kxQFecxvCtn7,2018-09-14,200
OFWfHsJP6bWg,2018-09-07,500
HLtb53Wmgdbn,2018-08-25,400
bugazMMZnmfE,2018-12-28,250
INC353,2018-12-06,500
Hk6qx2DjhlmH,2018-12-30,250
gCp8FnTUFm8b,2018-12-29,500
INC266,2018-11-16,100
INC214,2018-11-13,-500
INC48,2018-09-11,100
INC80,2018-09-28,500
pM6BuJDH5U8P,2018-11-11,250
INC9,2018-08-22,500
INC264,2018-11-16,200
Abx5JglYgzhk,2018-10-22,500
26AkxQOs4mhH,2018-09-05,250
INC275,2018-11-28,100
R4Eeq44sRxhV,2018-10-04,500
gBxkvOEvIRHw,2018-12-21,250
INC91,2018-10-03,500
jwtsqUokewkW,2018-10-21,500
xIEfonMeBUm1,2018-08-23,500
INC373,2018-12-20,500
INC316,2018-11-30,500
INC114,2018-10-01,500
xhPLjlZgI91x,2018-12-26,500
INC415,2018-12-28,100
dwAY3nZuqIai,2018-09-04,500
8N7FF7isc2eR,2018-09-07,100
f4EdPl5HYTmk,2018-12-30,250
EtFScVJmDVMm,2018-12-30,20.19
ZAHIwezxF2hR,2018-11-26,25
XUhyhySXIRyn,2018-12-12,200
INC363,2018-12-20,250
INC403,2018-12-27,500
INC93,2018-10-04,100
INC65,2018-09-24,100
INC430,2018-12-28,500
ViZKGvJjqK7N,2018-12-31,250
inm88tic29qw,2018-12-23,500
INC103,2018-10-06,100
INC169,2018-10-24,250
CpGZ26rXBdno,2018-11-07,100
INC376,2018-12-20,500
LlTci3arwaay,2018-08-30,250
INC96,2018-10-04,100
INC75,2018-09-27,125
NK89gXExjV1M,2018-12-24,100
dQBJj1AyMG2J,2018-09-25,500
INC361,2018-12-19,250
lAtuYQpfGfa9,2018-12-23,100
ev4oyCspOugm,2018-12-27,500
UlrZdrVwQ83t,2018-11-28,500
cBr4jK1mEplp,2018-12-27,100
INC330,2018-12-07,100
INC43,2018-09-05,250
INC450,2018-12-12,500
YogfYatUv875,2018-12-30,100
SpfY82VXNODS,2018-09-26,500
INC448,2018-12-19,500
fHjw52rGgo2I,2018-09-24,50
INC325,2018-12-04,500
INC203,2018-11-09,500
jwWzyXbjVV8m,2018-12-20,200
INC274,2018-11-28,500
QLtlmVqxlk7i,2018-12-31,200
INC2,2018-08-13,100
INC409,2018-12-27,500
Yj5crjwcffEj,2018-09-27,500
cAgVoHLkjAYl,2018-12-27,250
INC322,2018-12-03,250
ERxcpEHkNVLe,2018-12-21,100
INC412,2018-12-27,100
t8nUTupbhiHW,2018-12-27,200
ofSgSo4oErpE,2018-12-17,100
INC74,2018-09-27,250
