original_name,new_name
WILSON SONSINI GOODRICH & ROSATI,WILSON SONSINI GOODRICH AND ROSATI
"BARRACUDA NETWORKS, INC.",BARRACUDA NETWORKS
"SELF-EMPLOYED, SAME NAME",SELF-EMPLOYED
SELF EMPLOYED,SELF-EMPLOYED
"STEARNS CONSULTING, LLC",STEARNS CONSULTING
CITY & COUNTY OF SAN FRANCISCO,CITY AND COUNTY OF SAN FRANCISCO
"UNIVERSITY OF CALIFORNIA, AT BERKELEY",UNIVERSITY OF CALIFORNIA AT BERKELEY
N/A,NONE
"SQUARE, INC",SQUARE
"EUROGRAPHICS, INC.",EUROGRAPHICS
SELF-EMPLOYED/SAME NAME,SELF-EMPLOYED
"HANOVER PARTNERS, INC.",HANOVER PARTNERS
BARBARY COAST SF,BARBARY COAST SAN FRANCISCO
UNIVERSITY OF CALIFORNIA SAN FRANCIACO,UNIVERSITY OF CALIFORNIA SAN FRANCISCO
WOLFORD WAYNE LLP,WOLFORD WAYNE
LINCOLN LIGHTHILL ARCHITECT,LOLN LIGHTHILL ARCHITECT
O'MELVENY & MYERS LLP,O'MELVENY AND MYERS
LEVER INC,LEVER
SUNRUN INC.,SUNRUN
SELF EMPLOYED/SAME NAME,SELF-EMPLOYED
MCAVOY O'HARA CO. INC.,MCAVOY O'HARA CO.
TOBENER RAVENSCROFT LLP,TOBENER RAVENSCROFT
"50+1 STRATEGIES, LLC.",50+1 STRATEGIES
UNIF MANAGEMENT INC.,UNIF MANAGEMENT
BARBARY COST SF,BARBARY COAST SAN FRANCISCO
"LEGARIE MANAGEMENT, INC.",LEGARIE MANAGEMENT
"MUNGER, TOLLES & OLSON LLP",MUNGER TOLLES AND OLSON
"YBC ASSOCIATES, INC.",YBC ASSOCIATES
KAISER,KAISER PERMANENTE
"AM ROCCA, INC.",AM ROCCA
DENVER KIDS INC,DENVER KIDS
DELTA DENTAL OF CALIFORNIA,DELTA DENTAL
HARRINGTON INVESTMENT INC,HARRINGTON INVESTMENT
"FLURISH, INC.",FLURISH
GRASSROOTS,GRASS ROOTS
SAN FRANCISCO STATE UNIVERSITIES,SAN FRANCISCO STATE UNIVERSITY
CLEARY & ASSOCIATES,CLEARY AND ASSOCIATES
"LILAC LAW GROUP, LLP",LILAC LAW GROUP
CITY OF SAN FRANCISCO,CITY AND COUNTY OF SAN FRANCISCO
KASLOFSKY & ASSOCIATES,KASLOFSKY AND ASSOCIATES
